#SampleID	tube_label	filter	supernatant	lake	site	depth_(m)	date	MC_ELISA	MC_(ppb)	ATX_ELISA	ATX_(ppb)	BMAA_ELISA	BMAA_(ppm)	Avg_PC(ug/L_or_ppb_or_RFU)_READ_on_Fluor_1	Calulated_PC_ug/L_1	Avg_Chl_(ug/L_or_ppb_or_RFU)_READ_on_Fluor	Calulated_Chl_ug/L(pico_fraction)	Avg_PC(ug/L_or_ppb_or_RFU)_READ_on_Fluor_2	Calulated_PC_ug/L_2	Avg_PE(ug/L_or_ppb_or_RFU)_READ_on_Fluor	Calulated_PE_ug/L(pico_fraction)	sample.id	input	filtered	percentage.of.input.passed.filter	denoised	non.chimeric	percentage.of.input.non.chimeric	read_count_warning	percent_warning
1	WI_CB_0.1m_6-25_20	20		WI	CB	0.1	6/25/24	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									
2	WI_CB_0.1m_6-25_GFC	GFC		WI	CB	0.1	6/25/24	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	2	30021	21432	71.39	19961	19599	65.28	ok	warning
3	WI_CB_0.1m_6-25_GFF	GFF	9.7	WI	CB	0.1	6/25/24	0.114420315	BDL	0.132638089	BDL	3.155491597	BDL	2.373333333	0.036834133	0.18	0.0027936	3.066666667	0.047594667	1.15	0.017848	3	48912	38853	79.43	37010	35053	71.67	ok	warning
4	WI_ABD_0-8m_7-2_20	20		WI	ABD	0-8	7/2/24	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									
5	WI_ABD_0-8m_7-2_GFC	GFC		WI	ABD	0-8	7/2/24	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	5	52308	32293	61.74	30819	30729	58.75	ok	warning
6	WI_ABD_0-8m_7-2_GFF	GFF	8.0	WI	ABD	0-8	7/2/24	0.124711949	BDL	0.121345468	BDL	3.609004426	BDL	2.31	0.029568	0.1	0.00128	4.4	0.05632	1.7	0.02176	6	98693	83022	84.12	81496	78063	79.1	ok	warning
7	WI_WAM_0-8m_7-2_20	20		WI	WAM	0-8	7/2/24	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									
8	WI_WAM_0-8m_7-2_GFC	GFC		WI	WAM	0-8	7/2/24	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	8	64223	52325	81.47	50933	50315	78.34	ok	warning
9	WI_WAM_0-8m_7-2_GFF	GFF	8.5	WI	WAM	0-8	7/2/24	0.082838964	BDL	0.131219059	BDL	3.31623708	BDL	10.18333333	0.136312336	0.36	0.004818898	14.16333333	0.189587927	4.956666667	0.066349081	9	42516	35575	83.67	34903	34099	80.2	ok	ok
10	WI_26ADP_0-8m_7-2_20	20		WI	26ADP	0-8	7/2/24	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									
11	WI_26ADP_0-8m_7-2_GFC	GFC		WI	26ADP	0-8	7/2/24	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									
12	WI_26ADP_0-8m_7-2_GFF	GFF	7.7	WI	26ADP	0-8	7/2/24	0.077378878	BDL	0.149736252	0.001844751	6.560140418	0.08082093	3.123333333	0.038479467	0.18	0.0022176	4	0.04928	1.58	0.0194656									
13	WI_PVA_0-6.25m_7-2_20	20		WI	PVA	0-6.25	7/2/24	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									
14	WI_PVA_0-6.25m_7-2_GFC	GFC		WI	PVA	0-6.25	7/2/24	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									
15	WI_PVA_0-6.25m_7-2_GFF	GFF	8.3	WI	PVA	0-6.25	7/2/24	0.07793625	BDL	0.151800184	0.001702624	3.823535976	BDL	6.123333333	0.068680631	0.106666667	0.001196396	11.54333333	0.129472523	1.82	0.020413514									
16	WI_25A_0-8.5m_7-2_20	20		WI	25A	0-8.5	7/2/24	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									
17	WI_25A_0-8.5m_7-2_GFC	GFC		WI	25A	0-8.5	7/2/24	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17	64702	48604	75.12	47264	46818	72.36	ok	warning
18	WI_25A_0-8.5m_7-2_GFF	GFF	10.0	WI	25A	0-8.5	7/2/24	0.066632072	BDL	0.125693139	BDL	4.023712367	BDL	13.18	0.183055556	0.436666667	0.006064815	22.77333333	0.316296296	8.88	0.123333333	18	64995	55756	85.79	55244	54179	83.36	ok	ok
19	WI_BPDP_0-9m_7-2_20	20		WI	BPDP	0-9	7/2/24	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									
20	WI_BPDP_0-9m_7-2_GFC	GFC		WI	BPDP	0-9	7/2/24	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									
21	WI_BPDP_0-9m_7-2_GFF	GFF	8.4	WI	BPDP	0-9	7/2/24	0.087734677	BDL	0.153141995	0.001750194	5.042027122	0.057623167	3.12	0.035657143	0.103333333	0.001180952	4.733333333	0.054095238	2.39	0.027314286									
22	WI_26ADP_15.5m_7-2_20	20		WI	26ADP	15.5	7/2/24	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									
23	WI_26ADP_15.5m_7-2_GFC	GFC		WI	26ADP	15.5	7/2/24	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									
24	WI_26ADP_15.5m_7-2_GFF	GFF	8.5	WI	26ADP	15.5	7/2/24	0.069397968	BDL	0.167393655	0.003197407	4.81699556	0.092010028	1.12	0.021393258	0.04	0.000764045	4.546666667	0.086846442	0.64	0.012224719									
25	WI_BPDP_0.1m_7-2_20	20		WI	BPDP	0.1	7/2/24	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									
26	WI_BPDP_0.1m_7-2_GFC	GFC		WI	BPDP	0.1	7/2/24	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									
27	WI_BPDP_0.1m_7-2_GFF	GFF	spilled	WI	BPDP	0.1	7/2/24	0.128037548	BDL	0.220543914	0.002450488	3.096721674	BDL	0	0	0	0	0	0	0	0									
